z_init;mu_z0;mu_z1;seed;d;sdmu;n_small;n_large;Csurv;Bsurv;Cfec;Bfec;baseline_mortality;s_small;s_large;p_large;n_patches;time;z_small;varz_small;z_large;varz_large;n;freq_largefile
0;0.01;0.01;1262884778;0.5;0.01;5;5;0;0;1;5.16421;0.270526;0.2;0.9;0.181818;500;100000;0.00036219;0.00105491;0.000147927;0.00115125;2500;0.184./sim_patch_size_25_01_2024_213940_108
0;0.01;0.01;1288007693;0.5;0.01;5;5;0;0;1;5.90053;0.270526;0.2;0.9;0.181818;500;100000;0.000495224;0.000324045;0.000170535;0.000289074;2500;0.198./sim_patch_size_25_01_2024_213940_109
0;0.01;0.01;15910556;0.5;0.01;5;5;0;0;1;6.63684;0.270526;0.2;0.9;0.181818;500;100000;0.000587052;0.00158234;0.000172534;0.000613805;2500;0.2./sim_patch_size_25_01_2024_213940_110
0;0.01;0.01;2880375756;0.5;0.01;5;5;0;0;1;7.37316;0.270526;0.2;0.9;0.181818;500;100000;0.000646125;0.000163384;0.000157256;0.000692947;2500;0.186./sim_patch_size_25_01_2024_213940_111
0;0.01;0.01;1502025183;0.5;0.01;5;5;0;0;1;8.10947;0.270526;0.2;0.9;0.181818;500;100000;0.000683487;0.00118165;0.00017213;0.00161136;2500;0.17./sim_patch_size_25_01_2024_213940_112
0;0.01;0.01;1079720171;0.5;0.01;5;5;0;0;1;8.84579;0.270526;0.2;0.9;0.181818;500;100000;0.000728346;0.000199919;0.000188864;0.00132161;2500;0.172./sim_patch_size_25_01_2024_213940_113
0;0.01;0.01;3908917920;0.5;0.01;5;5;0;0;1;9.58211;0.270526;0.2;0.9;0.181818;500;100000;0.000727225;0.00104749;0.000200722;0.000655629;2500;0.156./sim_patch_size_25_01_2024_213940_114
0;0.01;0.01;3512560596;0.5;0.01;5;5;0;0;1;10.3184;0.270526;0.2;0.9;0.181818;500;100000;0.000746235;0.00169644;0.000141044;0.000816722;2500;0.198./sim_patch_size_25_01_2024_213940_115
0;0.01;0.01;778772541;0.5;0.01;5;5;0;0;1;11.0547;0.270526;0.2;0.9;0.181818;500;100000;0.000716319;0.000539645;0.00023537;0.000779317;2500;0.17./sim_patch_size_25_01_2024_213940_116
0;0.01;0.01;1063339501;0.5;0.01;5;5;0;0;1;11.7911;0.270526;0.2;0.9;0.181818;500;100000;0.000793677;0.00119163;0.000138759;0.000554485;2500;0.194./sim_patch_size_25_01_2024_213940_117
0;0.01;0.01;2207030862;0.5;0.01;5;5;0;0;1;12.5274;0.270526;0.2;0.9;0.181818;500;100000;0.000743445;0.000537641;0.000189557;0.000957194;2500;0.176./sim_patch_size_25_01_2024_213940_118
